review,sentiment
"Every time I watch this film, it just really makes me wanna go out and have a good night! My mate uses ""the weekend has landed"" speech to psyche himself up before going out! and so do I...sometimes. <br /><br />This film is a great debut for the writer/director - well done mate!<br /><br />The acting is great, all the characters are believable and are larger than life! The 'weird' scenes are a joy to watch, Jip's running Mr floppy flashbacks/explanations/visualizations are all great! The scene in the huuuuuuuge pub when everyone stands up and starts singing the mock national anthem is a laugh too. There's loads of comedy here - Howard Marks' 'spliff politics' speech is hilarious!<br /><br />Oh god, you just need to see this. Mind you, I felt the film did somewhat glorify the use of ecstacy, but hey, that's the truth of the matter eh? At least the film doesn't shy away from this fact. I suppose the film does carry a decent message to it as well - don't take life TOO seriously, you have to let you hair down sometime. And of course the chat in the pub when Moff tries to explain to his mates that he's coming off the drugs is a sure reminder that when the come down's out-way the good times, you know the party's over!<br /><br />This is at times a very clever film in it's use of the camera, lighting, etc. It was a realised piece of cinema, and a great feel-good tale of mates, love, clubs, and drugs.<br /><br />Get outta the 'rat race' people!!!<br /><br />8/10<br /><br />Enjoy!",positive
"For me an unsatisfactory, unconvincing heist movie. With an A-List cast, particularly the three leads and an experienced maverick director like Spike Lee I was expecting far more and in the end felt that what was delivered added little to this movie sub-genre. For a start I didn't like the pacing of the film, starting off with mastermind Clive Owen's raison d'etre piece to camera, unnecessarily repeated at the conclusion, then finding the narrative peppered with confusing, not to say unreal-seeming witness interviews, then finding yourself jumped into scenes you sense had begun earlier. Of course the camera work is fluid throughout, constantly on the move and incorporating hand-camera shots a-plenty, but director Lee fails to deliver thrills or suspense, falling down fundamentally by not making anything of the key protagonists in the film. Denzel Washington is weighed down with the clothes and bad-ass jive talk of a ""Shaft"" movie thirty - five years earlier (he even has that ""no-one understands him but his woman"" thing going on, replete with his ""hot"" girlfriend, baiting her with some downright crude and inappropriate ""dirty-talk"") and his mild ""In The Heat Of The Night"" riff with Willem Defoe (in almost a bit-part) raises barely a ripple. Clive Owens plays his character with a resolutely English accent even as we're given to believe the gang is Arab-based, also hindered by having to play 90% of the film with a mask over his face. Jodie Foster delivers another of her patented tight-lipped, ice maiden, sub-Clarice Starling turns as a well connected financial bounty-hunter, if you will, to little effect. Overall it's a real mish-mash of a film, with a light but obvious twist at the end, in fact the title gives it away from the start, spoiler fans. Worst scene (of many) is undoubtedly Washington's witness-interview, unbelievably, with an 8 year old street-kid, although Owen's dialogue with the same child minutes earlier runs it close in the embarrassment stakes. During the film in-joke references are made by characters to classic heist films like ""Serpico"" and ""Dog Day Afternoon"" - but there's no honour in self-praise. More like ""The Hot Rock"" instead...and even that was good for a few laughs.",negative
"'Thriller' remains the greatest of the pop music promos to have a plot, great visuals, and a tip-top song to wrap the film around. Michael Jackson was at the top of the tree at this time (and not so altered in his plastic surgery regime for it to matter). Here he is in good form - the song is terrific, he leads the zombies in dance like no other.<br /><br />Ola Ray plays the girl who watches with incredulity as her sweet boyfriend (Jackson, natch) turns into a werewolf! Then to the pulsing rhythms of the opening line 'It's close to midnight', he stomps around the graveyard with the other zombies and creatures of the night.<br /><br />The crowning glory of all this is the fruity voice of the great horror star Vincent Price speaking in the middle of the record. Terrific.",positive
"This version of the Gulliver stories is definitely bizarre. The production adds a frame story (that's what it's becoming famous for) of Gulliver returning to his wife and son. In one vieweing, incredibly overlong and sometimes fails to hold attention throughout, but the odd images and diverse cast will keep you looking. Mary Steenburgen does the best job of the cast. Danson seems a bit out of place with his American accent. The whole asylum thing is awfully disturbing often, but is nonetheless interesting and holds the journeys of Gulliver together well. Danson's character really does seem insane, however... he should have worked on being a little more believeable to everyone, in my opinion. Also confusing is going from present to past. Anyone else think the Yahoos are the ugliest things ever to grace a television screen (or in line for it)? Confusing, sometimes boring, but still highlighted by some good acting, overall wonderful visual effects, and a few enjoyable parts. NBC's first of many event films from Robert Halmi, Sr. See it for yourself to decide how it goes for you, however I give it * * * 1/2 (out of 5 stars).",positive
"In his 1966 film ""Blow Up"", Antonioni had his hero question truth against a backdrop of British youth protesters. By setting such questions against a fabric of hippie youth movements, Antonioni questioned, intentionally or not, the effectiveness of these organisations. How can you fight for a cause when what you think is true may actually be a lie? On the flip side, the film said that we must fight and actively challenge what we see precisely because others may be deceiving us with false images and false truths. Though the hippie aspects were the most tacky parts of ""Blow Up"", they created a nice texture and gave the film more meaning than it might otherwise have had. It was a very cautionary and mature little film.<br /><br />With ""Zabriskie Point"" Antonioni throws away all the ambiguities and subtleties of ""Blow Up"" and goes full blown hippie. The result is a film awash with bad metaphors, stupid ideas and heavy handed storytelling. How could somebody, who across his career displayed such restraint and intelligence, make something so silly? <br /><br />The film opens with a nice series of close ups, as we watch a group of radicals discussing the meaning of revolution. Suddenly one man (Mark) gets up and leaves. He hates the rigid and ordered nature of revolution. He recognises that, though revolutionaries fight for freedom, to bind oneself to such a militant cause is to effectively give your freedom away. And so like Jack Nicholson in ""The Passenger"", Mark just wants to be free.<br /><br />As such, Mark buys a gun and goes solo. He takes orders from no one. When police raid his university campus Mark shoots a guy and runs away. He then flees to a nearby airfield, steals a small private plane and flies out to the desert. Antonioni treats the desert as a peaceful utopia, and contrasts it with the ruthlessly capitalist cities, with their billboards and hollow modern appliances. He sees the desert as a sort of Garden of Eden.<br /><br />In the desert, Mark meets Daria and quickly falls in love. Antonioni then gives us a ridiculous sex scene in which hundreds of hippies have sex in the sand. Free from the constraints of modern life, these tree-huggers and student radicals can now celebrate their individualism by humping in the sun.<br /><br />The film ends with Mark dying and Daria fantasising about blowing up the mansions and stately homes of the rich capitalists who killed him. It's Antonioni's challenge to his audience. Pick up the guns, pickets and explosives, he says. Tear the walls down before they cage you in!<br /><br />Of course the film had no effect on its audience. They recognised ""Zabriskie Point"" as being just another self centred commercial attempt at being radical. A sort of commodified radicalism. It felt untruthful and tame.<br /><br />Thematically the film is pretty stupid. Antonioni basically says that if you are unhappy with the modern world, and the fat cats who exploit you, you should either flee to the desert (Mark) or actively fight the system (Daria). That's all well and good. But though artists constantly warn us of such dystopian nightmares, they're all mostly unable to show us how to effectively administer change. Like the end of ""Fight Club"", nihilism and violence achieve nothing. In the real world, social change tends to be instigated by humble inventors, spurred ahead by minor technological advancements. I mean, what liberated women more than contraceptives?<br /><br />3/10 - A very bad film. The problem is, Antonioni does not really believe in rebellion. He is a quiet and contemplative man. An introvert who seems to have made an extroverted film simply to garner more adoration from the counterculture who embraced his earlier film, ""Blow Up"". As such, ""Zabrinskie Point"" comes across as a very pretentious and stupid film. It's essentially a 50 year old man say ""Look at me, I'm a daring rebel!""<br /><br />There are many films in which the audience is encouraged to fight ""the system"", but they all fall into one of four categories. In the first category you have films like ""Network"", ""Cool Hand Luke"", ""Cuckoo's Nest"" and ""Spartacus"". These all show that the lives of freedom fighters all end in failure, though in each case the ""spirit of revolution"" survives. The message is that you can not effect change, but by dying or failing, the optimistic notion of change survives through martyrdom. Essentially we must keep on failing rather than give up hope.<br /><br />Then you have films like ""Fight Club"", ""Zabriskie Point"" and ""Falling Down"", which simply encourage you to explode. Tear it all down. Blow it all up. Everything is a lie, so you might as well go out guns blazing. These films are borne out of angry, reactionary feelings, rather than any sort of common sense.<br /><br />Then you have the ""flight rather than fight"" category. Terrence Malick and Antonioni are the masters of this genre. Films like ""The Passenger"", ""Red Desert"" and ""Badlands"" show human beings running from worlds they do not like and forging islands or peaceful havens for themselves. Both directors are pessimists, in that Malick has his islands destroyed and Antonioni has his islands offering no sense of happiness or solution.<br /><br />Then you have the fourth category. Films like Donnersmarck's ""The Lives of Others"", Ashby's ""Bound For Glory"" and Kubrick's ""A Clockwork Orange"", treat artists as a force of change and rebellion. In these dystopian worlds, in which everyone is content to be a slave to the state, it is the unbridled creativity and freedom of will of the artist/criminal who keeps the system in check. By simply existing outside of the herd, you create waves. Your comments, actions and critical eye, challenges the status quo. As such, Donnersmarck's film has novelists and artists undermining Nazi Germany, whilst Kubrick has Alex the artist/criminal fighting Nazi droogs, painting the town in blood and sperm.",negative
"Every once in a while, an indie comes along that has an awesome cast and a story that sounds really interesting and can't-miss, but the movie sucks. Some recent films belonging to this unfortunate category are ""Levity"" and ""The Safety Of Objects"", and now here's ""The United States Of Leland"".<br /><br />Said awesome cast includes Ryan Gosling, Kevin Spacey, Don Cheadle, Jena Malone, Lena Olin, Michelle Williams, Chris Klein, and Kerry Washington. Gosling plays Leland P. Fitzgerald, the teenage son of a famous author (Spacey) who commits a disturbing and unforgivable crime (murdering a retarded child), but doesn't remember it and doesn't seem to have any sort of motive. <br /><br />Don Cheadle plays a teacher in juvenile hall who is trying to understand Leland (and also exploit him by writing a book about him), and Jena Malone is his ex-girlfriend. We see their deteriorating relationship (due to her heroin addiction) in flashback. Sounds like an awesome little drama, huh? I thought so, too. <br /><br />The fact is that this movie is just badly, badly written. The dialogue and narration are painfully pretentious and laden with irritating platitudes about ""life"", the characters are all two-dimensional indie cliches, and while it does manage to make Leland sympathetic in some ways, it glosses over his crime. <br /><br />For the most part, there's no problem with the acting. Gosling (who was Oscar-worthy in ""The Believer"") is a tremendously talented young actor, but the way they're written, none of these characters (least of all Leland) even feel like real people, so there's not much he can do but mumble his ridiculous lines and look sad. <br /><br />Jena Malone is the most memorable. She has one of the most expressive faces I've ever seen. Even playing an underwritten character in a bad movie like this, she can break your heart with one look. When she's got good material to work with (as in ""Donnie Darko"" or ""The Dangerous Lives Of Altar Boys""), she's really amazing. <br /><br />But this is not good material. Maybe after a massive rewrite it could have been something worthwhile, but as it is, ""The United States Of Leland"" is ponderous, inert, and for a movie that seems in love with how ""deep"" it is, it's really shallow.",negative
"Like Freddy's Revenge, this sequel takes a pretty weird idea and doesn't go to great lengths to squeeze a story out of it. Basically Alice from number 4 is pregnant and her baby is haunted by Freddy which gives him an outlet to haunt her friends. This has the least deaths out of the whole series and the wise-cracks are quite poor, so neither the horror fans or comedy fans are happy. <br /><br /> I've not alot to say about this. It's moderately interesting to see the characters of Alice and Dan returning from four, but not worth watching a movie over. Uninspriring and unenjoyable, possibly only the competant direction saves it from being the worst in the series.",negative
"By my ""Kool-Aid drinkers"" remark, I mean that these are such devoted fans of the man Pavarotti that they make no attempt to objectively rate this film. Giving this a 10 is akin to giving Wally Cox the award for Mr. Universe or putting a velvet Elvis painting in the Louvre!!! When this film debuted, I remember the savage reviews with headlines such as ""No, Giorgio"" and some said it was among the worst films ever made. This is definitely overstating it as well. While bad and far from a great work of art, there was a lot to like about the film and the movie's biggest deficit was not the acting of Pavarotti nor his girth.<br /><br />Believe it or not, the brunt of the blame rests solely on the shoulders of the writers (who, I believe, were chimps). It is rare to see a movie with such clichéd dialog or goofy scenes like the food fight, but even they aren't the heart of the problem. The problem is that the writers intend for the audience to care about a ""romance"" that consists of a horny married middle-aged man and a seemingly desperate lady. Perhaps European audiences might be more forgiving of this, but in the United States in 1982 or today, such a romance seems sleazy and selfish--especially when Pavarotti tells Harrold that he loves his wife and ""this is just fun"". Wow, talk about romantic dialog!! Sadly, if they had just changed the script a little bit and made Pavarotti a widower or perhaps had his wife be like the wife from a couple classic Hollywood films, such as from ALL THIS AND HEAVEN, TOO or THE SUSPECT (where the wife was so vile and unlikable you could forgive the husband having an affair or even killing her). Instead, she's the loving mother of two kids who waits patiently at home while her egotistical hubby beds tarts right and left--as Pavarotti admits to having had many affairs before meeting Harrold.<br /><br />Sadly, even the gorgeous music of Pavarotti couldn't save this film. Towards the end of the film, there are some amazing scenes in New York where the set is just incredible and Pavarotti's singing transcendent. For that reason, I think the movie at least deserves a 3. I really wanted to like the film more, but it was a truly bad film--though not quite as rotten as you might have heard.<br /><br />Sadly, from what I have read, this film might be a case of art imitating life, as Pavarotti's own life later had some parallels to this film, though this isn't exactly the forum to discuss this in detail.",negative
"The first users comments are very detailed for a very vague movie. Not saying that I disagree, but this summary can be written in a few sentences. To get straight to the point, this is pretty much like watching the making of a really bad amateur porno flick. There are a few funny points in the movie, but with the kind of things that happen in todays youth everyday its actually kind of lame. The main actor in the movie is a pompous jackass and both guy and girl in the film are way too modest to be in a film like this. DO NOT WASTE YOUR MONEY ON THIS MOVIE. The only reason why I gave it a 4 and not a 1 is that they used at least a somewhat attractive girl in the movie and towards the end you got to see almost full frontal nudity from the girl, thats it, thats the only thing thats worth watching it for. the end",negative
"City Streets is amazingly modern technically speaking for a movie made in 1931. Also who could not be mesmerized, enthralled by Gary Cooper's powerful magnetism, galvanizing the audience attention. The plot is quite elaborate and clear. The scenarios, decor, are exceptional in every detail. All the actors are above average. I keep guessing how the director and his staff, including editing, sound, lighting, photography, could have been so brilliant. I couldn't find a flaw, understanding that the scenes in the road(bumpy ride) with the large motion pictures screen on the background was the best they could get in 1931. All in all I found this movie superb and so much alive thanks to Gary Cooper charisma.",positive
"I did not enjoy the film Eraser whatsoever. It's awful acting, boring storyline and average special effects made this an annoying arnie film, as it had a mountain of potential. With other action films of the time Eraser fell very short!!!",negative
"When you wish for the dragon to eat every cast member, you know you're in for a bad ride.<br /><br />I went in with very, very low expectations, having read some of the other comments, and was not let down. Unlike some other cheap and failed movies, however, this one doesn't really remain hilariously (and unintentionally) funny throughout.<br /><br />-SPOILERS FOLLOW-<br /><br />First of all, plot it very inconsistent. Looking past the ""small"" mistakes, such as the dragon growing up in 3 hours, the whole idea it's based on is messed up. See, the movie wants us to believe that dragons came from outer space in the form of meteorites which really were dragon eggs. After explaining this, they show some peasant poking at one with his pitchfork and the dragon pops out. Later, the obligatory ""crazy scientist"" guy babbles on about how dragons outlived the dinosaurs. So apparently humans were around when dinosaurs were, or we just have a fine little plot hole here. The other major thing is that the lab is blown up with a force ""half as strong"" as what was used for Hiroshima. Then two guys later walk in to check everything out, and it's almost unscathed! There's even another dragon, which grew out of who knows what. All in all it's very predictable. As soon as the guy mentioned cloning, I guessed they'd clone a dragon. That means that our Mr. Smarty-pants security guy isn't so intuitive and smart as the movie would have you believe, if you ignore that I knew this film would be about, you know, dragons.<br /><br />Putting that aside, the second worst thing is the ""special effects."" Others have mentioned the fake rocks falling during the beginning, the CG helicopter, and the dragon. It looks a bit better than a blob, but it ruined whatever it had going for it when it trudged down the hall in the same manner time after time. To their credit, the flying dragons in the beginning looked OK from far away (although the one in the cave is probably the worst one in the whole movie.) These things are funny to watch, however. The scenes where a million different shots of the same person facing different ways are shown are not. Nor are the ""introduction"" screens with the vital stats.<br /><br />Coming to the actors, they weren't the greatest, but I guess at least they tried? They seemed more enthusiastic about what they were doing than many of the actors participating in the recent ""BloodRayne,"" for example, and you've got to give them points for that. One thing I noticed though was that the woman who plays Meredith often had her face covered in make-up that was many tones lighter than the rest of her. She looked like she had a bad run-in with some white-face.<br /><br />The script is bad and cheesy. You don't really notice the music, but it's actually not too bad for the most part.<br /><br />The bottom line is don't watch it unless you want to see it because you hear it's bad (like I did), although the only funny things are the bad CG effects. Other than that, don't waste your time and money.",negative
"I had heard that this film was stylish and intriguing, but I just found it annoying. It's been a while since I've seen it (and hopefully I won't find out all my memories are wrong and I'm unjustly condemning this movie), but my memory is that the filmmakers tried to portray Leopold and Loeb as victimized by an anti-gay society, and that this somehow caused their horrible crime. I totally disagree with this point of view, and think it's unfair both to homosexuals and to Bobby Franks, the real victim of the story. I can't imagine why anyone would want to claim those two as martyrs. I also thought L&L were portrayed as a bit more sophisticated than they actually were--after all, they were teenagers who lived at home. The film places them in a kind of fantasy world that seems like it should be scored by Morrissey.<br /><br />I just read an interview with one of the filmmakers that implied the film's anachronisms, such as the push-button phones that characters used, were meant ""to add Brechtian distance"". They certainly do that, but I happened to find it highly irksome.<br /><br />Apparently a number of people found this movie interesting, but I would have preferred a less ""stylish"" and more realistic examination of the part homosexuality may have played in the Leopold & Loeb case.",negative
"The title is onomatopoeic, the sound of a streetcar clacking on the rails. It is metaphoric for all that the people who live in the dump cannot have. The misery of those people is illustrated by the passing streetcar which represents the relatively unobtainable rich life of the middle class. The pathos of the little boy and his beloved yet sadly insane father is most touching. This was Kurosawa's first film in colour and he uses beautifully shocking hues, colours seen only in dreams. The movie is surreal and surpassing in beauty. The compassion for humanity is the underling force, but as always, Kurosawa is focused on capturing the beauty of the film. It is a masterwork by a genius of cinema.",positive
"The subsequent two seasons of this original series was less than lacklustre. The latter seasons disastrous reshuffle contributed to its three season short life span. Maybe if the plug was pulled after the first season it would've gained a cult following.<br /><br />Aside from that, the first season was truly hilarious! Witty, clever with superb writing it was promising. The first season's excellent brew had the right ingredients - characters/actors, storyline and so forth. Plus a comedy about a paparazzi reporter was original to boot. Nora and her fellow ""photographers"" on the prowl, night after night, day after day for the exclusives.<br /><br />A lot of things don't make sense to me. Like how this show, and another fav of mine - Gross Pointe never ""made it"". If only the first seasons of the Naked Truth, and Grosse Pointe were released on DVD, please anyone out there?!",positive
"Spoiler Alert Well I think this movie is probably the worst film ever made. Probably in the style of Ed Wood(without the heart). The lightning is terrible. The music is very bad(piano and orgue... come on!). The acting is... well there is no acting!<br /><br />There's a guy who actually goes in the wood to search for his missing wife and take the time to have sex with a stranger.<br /><br />The killer is a fat, unscary clown who couldn't outrun a turtle!<br /><br />Every members of the cast is stupid and the director put every clichés of slashers movies in the film without effort.<br /><br />The end is so far the most stupid ever made. Think about it: The guy(ken hebert) who's acting skill is about the same as his writing(he's the brain behind this flop) invite a co-worker and two of his friends to his cabin for the week-end and kills them... On monday morning he goes back to is office like nothing happen.<br /><br />The tragedy is that Mr.Hebert try to make us beleive that it's a family affair that goes on for generation(his uncle is the clown killer)<br /><br />So of course NO cops are gonna question him after his co-worker goes missing...<br /><br />WHATEVER.<br /><br />",negative
"I have never seen a comedy that was this much of a chore to sit thru...not one laugh in it. Ok, maybe one little chuckle for the Michael Clarke Duncan bit as the big, black, bald gay virgin. But the rest of it was shockingly un-funny. On top of being void of any laughs the ""skits"" go on forever! Steer clear of this one if you value your time and money. DREADFUL!!! The worst!!!",negative
"For my money, probably the best film - or at least the most purely cinematic film - director Ford ever made. The dialog is swift, clipped, to the point.l The story starts at the very beginning and only ends with the final credits. Ford uses a relatively small cast, but directs them and photographs them with a verve and a sweep of epic proportions. Grimly realistic, warmly amusing, brilliantly acted (hard to believe Johnsonj couldn't become a leading man after this), with the best photography and editing in any American black-and-white film. Owes an awful lot to Sergei Eisenstein's editing technique, but never as coolly detached or 'scientific' as Eisenstein could frequently get. And a great musical score. A magnificent panorama of an important and poorly understood episode in American history.<br /><br />One little quibble: it's not clear why the film involves the Mormons, who, as far as I know, were never the pacifists the Quakers and Amish were. This confusion leaves a slightly bitter after-taste.<br /><br />However, the rest of the film is such a feast, this is easy to ignore. In all other ways, a true masterpiece of American cinema that needs to be revived and looked at again (and again and again).",positive
"I fail to see the appeal of this series (which is supposed to be sci-fi). It's really just ""let's see what soap operatically happens this week"" and oh, the Cylons are involved through flashbacks.<br /><br />The Cylon ""babe"" that keeps nailing the other guy is pretty lame, it's pretty obvious that T&A was added to the show. Every time she pops up I'm bewildered as to WTF is supposed to be going on. And don't even try to bullsh*t me about ""story arcs"".<br /><br />It's a soap opera with some CGI thrown-in. This is not science fiction aside from the original premise.<br /><br />This series is not everything it's worked-up to be. If you like trendy, edgy, dodgy, jumpy, vague editor-on-crack camera work, this show might be for you. Since nerds seem to be raving about this show, it's a clear indication that vocal nerds' opinions have been changed from Picard's TNG.",negative
"This is a good movie, but it is not recommended if you don't like intelligent movies. It's about two guys that wish that the world would go away,and that's exactly what they get. The acting is great, the ending was not predictable,and it actually had a good story unlike most movies these days. People complain about the movie being too simple or too boring. I think they should just stick to movies like The Toxic Avenger (I actually like B movies) or The Grim Adventures of Billy and Mandy. One note: If you notice this, this has exactly the same actors from Cube except four actors. Make it two notes: Wait after the credits (Trust me on this one). Enjoy the movie.",positive
"It is such a shame when actors and actresses of high quality get involved with pure crap, probably because they were offered a great deal of money. Not one of Helen Mirren's better career moves. The acting of the ""teens"" is simply appalling, not helped by a script that is in parts simply inept.<br /><br />Most of Kevin Williamson's work is above average box office dross, but this is really below par. <br /><br />This is the sort of movie that you watch on TV when there is nothing better on and you have had half a bottle of wine to drink and are waiting for the Pizza to be delivered so you can drink the other half.",negative
